,player,team,age,position,Mins,Passing Accuracy,90s
364,Guido Rodríguez,West Ham,30,DMC,1026,84.6,11.4
365,Joshua Zirkzee Man Utd,,23,"AM(C),FW",1243,72.5,13.811111111111112
366,Caleb Okoli,Leicester,23,D(C),1004,86.9,11.155555555555555
367,Harry Winks,Leicester,29,DMC,1541,88.9,17.122222222222224
368,Lesley Ugochukwu,Southampton,20,DMC,1032,86.4,11.466666666666667
369,Radu Dragusin,Tottenham,23,D(C),1254,85.2,13.933333333333334
370,Igor Julio,Brighton,27,"D(CL),M(L)",901,92.7,10.011111111111111
371,Filip Jørgensen,Chelsea,22,GK,540,82.4,6.0
372,Boubakary Soumaré,Leicester,26,DMC,1563,87.3,17.366666666666667
373,Kamaldeen Sulemana,Southampton,23,"AM(L),FW",738,82.9,8.2
374,Tyrique George,Chelsea,19,Forward,84,87.2,0.9333333333333333
375,Antony Man Utd,,25,AM(R),135,81.4,1.5
376,Issa Diop,Fulham,28,D(C),1259,87.5,13.988888888888889
377,Ian Maatsen,Aston Villa,23,"D(L),M(CLR)",607,87.5,6.7444444444444445
378,Victor Lindelöf Man Utd,,30,D(CLR),240,90.4,2.6666666666666665
379,Pedro Lima,Wolves,18,Defender,70,76.9,0.7777777777777778
380,Adam Smith,Bournemouth,33,"D(LR),M(LR)",1041,78.9,11.566666666666666
381,Max Aarons,Bournemouth,25,D(R),86,80.4,0.9555555555555556
382,Sam Szmodics,Ipswich,29,"AM(CL),FW",988,76.8,10.977777777777778
383,Nathan Broadhead,Ipswich,26,"AM(CLR),FW",449,82.2,4.988888888888889
384,Axel Tuanzebe,Ipswich,27,D(CR),1100,86.9,12.222222222222221
385,Lamare Bogarde,Aston Villa,21,DMC,476,88.1,5.288888888888889
386,Luke Shaw Man Utd,,29,"D(CL),M(L)",68,88.1,0.7555555555555555
387,Leny Yoro Man Utd,,19,D(C),698,93.0,7.7555555555555555
388,Chiedozie Ogbene,Ipswich,27,"M(CLR),FW",240,79.5,2.6666666666666665
389,Daichi Kamada,Crystal Palace,28,"AM(CLR),FW",981,81.7,10.9
390,Danny Ings,West Ham,32,"AM(C),FW",274,71.6,3.0444444444444443
391,Ramón Sosa,Nottingham Forest,25,AM(LR),232,72.5,2.577777777777778
392,Timo Werner,Tottenham,29,"AM(CLR),FW",508,74.2,5.644444444444445
393,Lewis Miley,Newcastle,18,M(C),188,88.9,2.088888888888889
394,Dane Scarlett,Tottenham,21,FW,31,60.0,0.34444444444444444
395,Charlie Taylor,Southampton,31,"D(CL),M(L)",263,92.5,2.922222222222222
396,Brajan Gruda,Brighton,20,AM(CR),384,77.0,4.266666666666667
397,Simon Adingra,Brighton,23,"M(LR),FW",618,81.9,6.866666666666666
398,Vladimír Coufal,West Ham,32,"D(CR),M(R)",735,80.5,8.166666666666666
399,Carlos Soler,West Ham,28,M(CLR),1100,87.4,12.222222222222221
400,Sean Longstaff,Newcastle,27,DMC,739,85.8,8.21111111111111
401,Danilo,Nottingham Forest,23,M(C),171,83.8,1.9
402,Matt Targett,Newcastle,29,"D(L),M(L)",12,100.0,0.13333333333333333
403,Nathan Wood,Southampton,22,D(C),625,93.8,6.944444444444445
404,Alex McCarthy,Southampton,35,GK,450,69.8,5.0
405,Rodrigo Gomes,Wolves,21,M(LR),564,68.3,6.266666666666667
406,Renato Veiga,Chelsea,21,D(CL),177,84.1,1.9666666666666666
407,Conor Chaplin,Ipswich,28,"AM(CLR),FW",611,76.3,6.788888888888889
408,Tom Cairney,Fulham,34,M(CR),427,93.7,4.7444444444444445
409,Kyle Walker,Man City,34,"D(CR),M(R)",967,88.6,10.744444444444444
410,Cheick Doucouré,Crystal Palace,25,DMC,447,85.7,4.966666666666667
411,Samuel Edozie,Southampton,22,AM(CLR),64,82.8,0.7111111111111111
412,Hákon Valdimarsson,Brentford,23,GK,144,61.9,1.6
413,Rasmus Højlund Man Utd,,22,FW,1441,78.7,16.011111111111113
414,Fábio Carvalho,Brentford,22,"AM(CL),FW",447,74.7,4.966666666666667
415,Armel Bella-Kotchap,Southampton,23,D(C),329,90.6,3.6555555555555554
416,Hamza Choudhury,Leicester,27,"D(R),DMC",130,89.5,1.4444444444444444
417,Pablo Sarabia,Wolves,32,"D(L),M(CLR),FW",565,76.1,6.277777777777778
418,James Bree,Southampton,27,"D(CLR),M(R)",892,87.0,9.911111111111111
419,Evan Ferguson,West Ham,20,FW,92,78.3,1.0222222222222221
420,Craig Dawson,Wolves,34,D(CR),969,86.7,10.766666666666667
421,Lloyd Kelly,Newcastle,26,D(CL),302,81.2,3.3555555555555556
422,Enes Ünal,Bournemouth,27,FW,332,67.0,3.688888888888889
423,Joe Willock,Newcastle,25,M(C),811,86.6,9.011111111111111
424,Armando Broja,Everton,23,FW,168,81.1,1.8666666666666667
425,Joachim Andersen,Crystal Palace,28,D(C),90,74.4,1.0
426,Solly March,Brighton,30,M(CLR),37,56.3,0.4111111111111111
427,Raheem Sterling,Arsenal,30,"M(CLR),FW",307,82.5,3.411111111111111
428,Flynn Downes,Southampton,26,"D(C),M(C)",1526,90.6,16.955555555555556
429,Kasey McAteer,Leicester,23,AM(CLR),391,75.2,4.344444444444444
430,Ben Chilwell,Crystal Palace,28,"D(L),M(L)",50,73.9,0.5555555555555556
431,James McAtee,Man City,22,AM(CR),123,86.7,1.3666666666666667
432,Rico Henry,Brentford,27,"D(L),M(L)",3,33.3,0.03333333333333333
433,Wilson Odobert,Tottenham,20,"AM(CLR),FW",351,82.0,3.9
434,Harvey Elliott,Liverpool,21,AM(CR),121,85.1,1.3444444444444446
435,Nathan Patterson,Everton,23,"D(R),M(R)",124,78.2,1.3777777777777778
436,Kalvin Phillips,Ipswich,29,"D(C),DMC",1210,81.4,13.444444444444445
437,Jorge Cuenca,Fulham,25,D(CL),169,83.3,1.8777777777777778
438,Jakub Kiwior,Arsenal,25,"D(CL),DMC",323,84.9,3.588888888888889
439,Gonçalo Guedes,Wolves,28,"AM(CLR),FW",764,75.7,8.488888888888889
440,Diego Carlos,Aston Villa,32,D(C),829,89.0,9.21111111111111
441,Justin Devenny,Crystal Palace,21,Midfielder,314,77.5,3.488888888888889
442,Nico O'Reilly,Man City,20,Midfielder,21,94.1,0.23333333333333334
443,Wes Burns,Ipswich,30,"D(R),M(LR)",933,69.8,10.366666666666667
444,Yukinari Sugawara,Southampton,24,"D(R),M(R)",1444,84.5,16.044444444444444
445,Conor Bradley,Liverpool,21,"D(R),M(R)",365,84.4,4.055555555555555
446,Adam Lallana,Southampton,36,M(CLR),357,85.5,3.966666666666667
447,Kiernan Dewsbury-Hall,Chelsea,26,M(C),194,87.6,2.1555555555555554
448,Oleksandr Zinchenko,Arsenal,28,"D(L),M(CLR)",294,82.0,3.2666666666666666
449,George Hirst,Ipswich,26,FW,260,56.5,2.888888888888889
450,Jorginho,Arsenal,33,DMC,546,86.0,6.066666666666666
451,Archie Gray,Tottenham,19,"D(CR),DMC",1240,90.9,13.777777777777779
452,Paris Maghoma,Brentford,23,DMC,106,92.4,1.1777777777777778
453,Harry Toffolo,Nottingham Forest,29,"D(L),M(L)",45,85.7,0.5
454,Mykhailo Mudryk,Chelsea,24,AM(L),146,77.1,1.6222222222222222
455,Jack Taylor,Ipswich,26,M(C),479,83.2,5.322222222222222
456,Mikey Moore,Tottenham,17,AM(R),182,85.2,2.022222222222222
457,Kieran Tierney,Arsenal,27,"D(CL),M(L)",77,82.1,0.8555555555555555
458,Adam Armstrong,Southampton,28,"AM(CLR),FW",1255,83.6,13.944444444444445
459,Andy Irving,West Ham,24,Midfielder,162,90.0,1.8
460,Patrick Dorgu Man Utd,,20,"D(L),M(LR)",223,82.7,2.477777777777778
461,Kosta Nedeljkovic,Aston Villa,19,D(R),121,90.2,1.3444444444444446
462,Eric da Silva Moreira,Nottingham Forest,18,Forward,28,83.3,0.3111111111111111
463,Chiquinho,Wolves,25,AM(LR),6,100.0,0.06666666666666667
464,Michael Kayode,Brentford,20,D(R),30,76.5,0.3333333333333333
465,Hwang Hee-Chan,Wolves,29,"AM(CLR),FW",631,83.5,7.011111111111111
466,Evan Ferguson,Brighton,20,FW,236,75.4,2.6222222222222222
467,Oliver Skipp,Leicester,24,DMC,773,85.4,8.588888888888889
468,Patson Daka,Leicester,26,FW,454,74.4,5.044444444444444
469,Maxwel Cornet,Southampton,28,"D(L),M(LR),FW",72,89.5,0.8
470,Reiss Nelson,Arsenal,25,M(LR),2,-,0.022222222222222223
471,Willian,Fulham,36,AM(CLR),129,88.2,1.4333333333333333
472,Tommy Doyle,Wolves,23,M(C),477,85.4,5.3
473,Cameron Archer,Southampton,23,FW,1177,82.2,13.077777777777778
474,Donyell Malen,Aston Villa,26,"AM(CLR),FW",169,78.4,1.8777777777777778
475,James Ward-Prowse,Nottingham Forest,30,M(CR),399,86.4,4.433333333333334
476,Ben Mee,Brentford,35,D(CL),181,77.6,2.011111111111111
477,Woyo Coulibaly,Leicester,25,D(R),108,84.1,1.2
478,Will Smallbone,Southampton,25,M(CR),553,82.5,6.144444444444445
479,Conor Coady,Leicester,32,"D(CR),DMC",904,90.8,10.044444444444444
480,Ryan Trevitt,Brentford,22,M(C),3,66.7,0.03333333333333333
481,Federico Chiesa,Liverpool,27,"M(CLR),FW",25,88.2,0.2777777777777778
482,Wataru Endo,Liverpool,32,DMC,138,94.0,1.5333333333333334
483,Bobby De Cordova-Reid,Leicester,32,"D(R),M(CLR),FW",636,75.9,7.066666666666666
484,Jakub Moder,Brighton,25,M(CL),9,81.0,0.1
485,Miguel Almirón,Newcastle,31,"AM(CLR),FW",151,82.8,1.6777777777777778
486,Jeremy Sarmiento,Brighton,22,AM(CL),8,100.0,0.08888888888888889
487,Joe Lumley,Southampton,30,GK,270,67.6,3.0
488,Daniel Jebbison,Bournemouth,21,FW,61,84.6,0.6777777777777778
489,Jayden Meghoma,Brentford,18,"D(L),M(L)",4,100.0,0.044444444444444446
490,Julián Araujo,Bournemouth,23,"D(R),M(R)",357,81.2,3.966666666666667
491,Lewis Orford,West Ham,19,Midfielder,47,86.5,0.5222222222222223
492,Asher Agbinone,Crystal Palace,19,Midfielder,4,100.0,0.044444444444444446
493,Yunus Konak,Brentford,19,DMC,27,73.1,0.3
494,Ben Winterburn,Bournemouth,20,Midfielder,9,50.0,0.1
495,Luis Guilherme,West Ham,19,Forward,50,86.4,0.5555555555555556
496,Chido Obi Man Utd,,17,Forward,26,75.0,0.28888888888888886
497,Divin Mubama,Man City,20,Forward,27,66.7,0.3
498,Ricardo Pereira,Leicester,31,"D(LR),M(R)",154,87.6,1.711111111111111
499,Caleb Kporha,Crystal Palace,18,Defender,11,75.0,0.12222222222222222
500,Carlos Forbs,Wolves,21,AM(LR),233,69.7,2.588888888888889
501,Albert Grønbæk,Southampton,23,AM(CL),143,76.5,1.5888888888888888
502,Alfie Dorrington,Tottenham,19,Defender,13,93.8,0.14444444444444443
503,Martial Godo,Fulham,22,AM(LR),14,75.0,0.15555555555555556
504,Roman Dixon,Everton,20,Defender,90,56.3,1.0
505,Mason Mount Man Utd,,26,M(CLR),249,83.1,2.7666666666666666
506,Andrés García,Aston Villa,22,D(R),269,92.0,2.988888888888889
507,Taiwo Awoniyi,Nottingham Forest,27,FW,266,67.1,2.9555555555555557
508,Ben Brereton,Southampton,25,"AM(LR),FW",448,79.2,4.977777777777778
509,Emiliano Buendía,Aston Villa,28,"M(CLR),FW",89,81.7,0.9888888888888889
510,Massimo Luongo,Ipswich,32,M(C),181,76.5,2.011111111111111
511,Odsonne Édouard,Leicester,27,"AM(L),FW",26,75.0,0.28888888888888886
512,Kim Ji-Soo,Brentford,20,Defender,29,89.3,0.32222222222222224
513,Daniel Podence,Wolves,29,"AM(CLR),FW",47,73.3,0.5222222222222223
514,Ross Stewart,Southampton,28,"AM(L),FW",131,80.0,1.4555555555555555
515,Scott McTominay Man Utd,,28,"D(C),M(C)",17,100.0,0.18888888888888888
516,Nathaniel Clyne,Crystal Palace,33,"D(CLR),M(R)",395,75.2,4.388888888888889
517,Jeffrey Schlupp,Crystal Palace,32,"D(L),M(CLR)",95,86.0,1.0555555555555556
518,Marc Guiu,Chelsea,19,Forward,71,68.8,0.7888888888888889
519,Sam Amo-Ameyaw,Southampton,18,Midfielder,26,100.0,0.28888888888888886
520,Mathis Amougou,Chelsea,19,M(C),7,100,0.07777777777777778
521,William Osula,Newcastle,21,FW,65,42.9,0.7222222222222222
522,Harrison Reed,Fulham,30,"D(R),M(CR)",71,81.4,0.7888888888888889
523,Tyrell Malacia Man Utd,,25,"D(L),M(L)",101,89.6,1.1222222222222222
524,Jahmai Simpson-Pusey,Man City,19,Defender,95,93,1.0555555555555556
525,Ronnie Edwards,Southampton,21,D(C),12,100,0.13333333333333333
526,Josh Acheampong,Chelsea,18,Defender,169,83.7,1.8777777777777778
527,Alfie Pond,Wolves,21,Defender,1,100,0.011111111111111112
528,Jay Stansfield,Fulham,22,"AM(CL),FW",1,-,0.011111111111111112
529,Kaelan Casey,West Ham,20,Defender,1,-,0.011111111111111112
530,Nasser Djiga,Wolves,22,D(C),18,100,0.2
531,Remy Rees-Dottin,Bournemouth,19,Forward,1,-,0.011111111111111112
532,Shumaira Mheuka,Chelsea,17,Forward,1,-,0.011111111111111112
533,Will Alves,Leicester,19,Midfielder,1,100,0.011111111111111112
534,Zain Silcott-Duberry,Bournemouth,19,Forward,1,50,0.011111111111111112
535,Will Lankshear,Tottenham,19,Forward,10,-,0.1111111111111111
536,Ali Al-Hamadi,Ipswich,23,FW,125,83.3,1.3888888888888888
537,George Edmundson,Ipswich,27,D(C),1,50,0.011111111111111112
538,Ryan Fraser,Southampton,31,"M(CLR),FW",307,85.1,3.411111111111111
539,Danny Ward,Leicester,31,GK,135,72.7,1.5
540,Jack Stephens,Southampton,31,D(CLR),809,92.7,8.988888888888889
541,Odsonne Édouard,Crystal Palace,27,"AM(L),FW",116,63,1.288888888888889
542,Harrison Armstrong,Everton,18,M(C),47,53.8,0.5222222222222223
543,Frank Onyeka,Brentford,27,DMC,23,85.7,0.25555555555555554
544,Marcus Harness,Ipswich,29,"M(CLR),FW",43,62.5,0.4777777777777778
545,Jaden Philogene,Aston Villa,23,M(LR),326,76.5,3.6222222222222222
546,Callum Wilson,Newcastle,33,FW,158,74.1,1.7555555555555555
547,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",20,88.9,0.2222222222222222
548,Mason Holgate,Everton,28,"D(CR),DMC,M(R)",5,-,0.05555555555555555
549,Harry Clarke,Ipswich,24,"D(CR),M(R)",378,82.2,4.2
550,Jayden Danns,Liverpool,19,Forward,10,100.0,0.1111111111111111
551,Ben Godfrey,Ipswich,27,D(CLR),110,83.3,1.2222222222222223
