,player,team,age,position,Mins,Passing Accuracy,90s
119,Milos Kerkez,Bournemouth,21,"D(L),M(L)",2540,80.8,28.22222222222222
120,Leandro Trossard,Arsenal,30,"M(CLR),FW",1910,79.8,21.22222222222222
121,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",1577,77.3,17.522222222222222
122,Kevin Schade,Brentford,23,"AM(LR),FW",1577,62.0,17.522222222222222
123,Emmanuel Agbadou,Wolves,27,"D(CR),DMC",601,82.3,6.677777777777778
124,Tyrone Mings,Aston Villa,32,D(CL),781,87.7,8.677777777777777
125,Anthony Elanga,Nottingham Forest,22,"AM(LR),FW",1854,77.6,20.6
126,Jarrad Branthwaite,Everton,22,D(C),1806,82.4,20.066666666666666
127,Danny Welbeck,Brighton,34,"AM(CLR),FW",1494,83.2,16.6
128,Noussair Mazraoui Man Utd,,27,"D(CLR),M(R)",2227,85.4,24.744444444444444
129,Marco Asensio,Aston Villa,29,"AM(CLR),FW",206,86.3,2.2888888888888888
130,Casemiro Man Utd,,33,"D(C),DMC",1125,81.2,12.5
131,Jan Paul van Hecke,Brighton,24,D(C),2331,88.9,25.9
132,Tyrick Mitchell,Crystal Palace,25,"D(L),M(L)",2407,73.3,26.744444444444444
133,Ollie Watkins,Aston Villa,29,"AM(LR),FW",2067,76.5,22.966666666666665
134,Evanilson,Bournemouth,25,FW,1557,70.4,17.3
135,Tyler Adams,Bournemouth,26,"D(R),M(CR)",1244,84.0,13.822222222222223
136,Tosin Adarabioyo,Chelsea,27,D(CR),1087,91.4,12.077777777777778
137,Alisson Becker,Liverpool,32,GK,1879,81.5,20.877777777777776
138,Bernardo Silva,Man City,30,"M(CLR),FW",2038,88.7,22.644444444444446
139,Illia Zabarnyi,Bournemouth,22,D(C),2366,81.2,26.288888888888888
140,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",2364,76.6,26.266666666666666
141,Dan Burn,Newcastle,32,"D(CL),M(L)",2430,90.0,27.0
142,Rodrigo Bentancur,Tottenham,27,M(C),1254,88.4,13.933333333333334
143,Mikel Merino,Arsenal,28,"M(C),FW",1144,79.6,12.71111111111111
144,Lucas Digne,Aston Villa,31,"D(CL),M(L)",2073,82.8,23.033333333333335
145,Axel Disasi,Aston Villa,27,D(CR),360,89.9,4.0
146,Jan Bednarek,Southampton,28,D(C),1905,92.5,21.166666666666668
147,Kepa,Bournemouth,30,GK,1980,67.7,22.0
148,Keane Lewis-Potter,Brentford,24,"D(L),M(CLR),FW",2374,81.2,26.377777777777776
149,Ferdi Kadioglu,Brighton,25,"D(LR),M(CLR)",389,85.3,4.322222222222222
150,Diogo Jota,Liverpool,28,"AM(CLR),FW",843,72.9,9.366666666666667
151,Maximilian Kilman,West Ham,27,D(C),2539,86.6,28.211111111111112
152,Wesley Fofana,Chelsea,24,D(C),1176,90.8,13.066666666666666
153,Nélson Semedo,Wolves,31,"D(CLR),M(R)",2152,81.6,23.91111111111111
154,Destiny Udogie,Tottenham,22,"D(L),M(L)",1663,88.7,18.477777777777778
155,Harry Maguire Man Utd,,32,D(C),1359,87.3,15.1
156,Marcus Rashford Man Utd,,27,"AM(CLR),FW",983,76.9,10.922222222222222
157,Adam Wharton,Crystal Palace,21,DMC,847,78.7,9.411111111111111
158,Riccardo Calafiori,Arsenal,22,D(CL),929,87.7,10.322222222222223
159,Nick Pope,Newcastle,32,GK,1620,62.5,18.0
160,Matthijs de Ligt Man Utd,,25,D(C),2003,90.4,22.255555555555556
161,Jadon Sancho,Chelsea,24,AM(CLR),1434,85.5,15.933333333333334
162,Joël Veltman,Brighton,33,"D(CR),M(R)",1647,82.2,18.3
163,Antonín Kinsky,Tottenham,22,GK,360,77.5,4.0
164,Levi Colwill,Chelsea,22,D(CL),2430,90.0,27.0
165,Chris Richards,Crystal Palace,24,"D(C),DMC",1339,81.0,14.877777777777778
166,Sasa Lukic,Fulham,28,M(C),1748,90.8,19.42222222222222
167,Marcos Senesi,Bournemouth,27,D(C),921,77.0,10.233333333333333
168,Dean Henderson,Crystal Palace,28,GK,2520,57.8,28.0
169,Jaden Philogene,Ipswich,23,M(LR),460,78.9,5.111111111111111
170,James Ward-Prowse,West Ham,30,M(CR),415,92.6,4.611111111111111
171,Yerson Mosquera,Wolves,23,D(C),442,86.1,4.911111111111111
